place_id,name_cln,text,unknown_uncertain,geog_name,address,settlement,region,country,continent,modern_french_region,name_n_ids
place_092,Fontenay-aux-Roses,Fontenay-aux-Roses,,,,Fontenay-aux-Roses,Hauts-de-Seine,France,,Ile-de-France,obj1816-pl-869 || obj1823-pl-873
place_093,"Kerrymuir, Forfarshire","Kerrymuir, Forfarshire",,,,Kirriemuir,Forfarshire,Scotland,,,obj972-pl-336
place_094,"Lindectis, Forfarshire","Lindectis, Forfarshire",,,Lindertis,Kirriemuir,Forfarshire,Scotland,,,obj949-pl-282
place_095,"Lindentis, Forfarshire","Lindentis, Forfarshire",,,Lindertis,Kirriemuir,Forfarshire,Scotland,,,obj972-pl-335
place_096,Fort Mitchell,Fort Mitchell,,,,Fort Mitchell,Alabama,United States of America,,,obj1405-pl-148
place_097,Fort Vancouver,Fort Vancouver,,,,Fort Vancouver,Oregon,United States of America,,,obj1476-pl-290
place_098,France,France,,,,,,France,,,obj776-pl-44 || obj804-pl-85 || obj806-pl-89 || obj835-pl-118 || obj837-pl-128 || obj846-pl-140 || obj847-pl-142 || obj853-pl-152 || obj860-pl-167 || obj888-pl-199 || obj951-pl-292 || obj952-pl-296 || obj974-pl-339 || obj978-pl-344 || obj1011-pl-387 || obj1033-pl-414 || obj1090-pl-483 || obj1097-pl-498 || obj1098-pl-503 || obj1130-pl-564 || obj1207-pl-692 || obj1235-pl-721 || obj1255-pl-755 || obj1259-pl-768 || obj1260-pl-775 || obj1261-pl-777 || obj1299-pl-845 || obj1330-pl-38 || obj1416-pl-165 || obj1436-pl-199 || obj1444-pl-217 || obj1463-pl-262 || obj1467-pl-269 || obj1475-pl-287 || obj1477-pl-294 || obj1478-pl-301 || obj1492-pl-318 || obj1514-pl-355 || obj1515-pl-357 || obj1526-pl-380 || obj1530-pl-402 || obj1544-pl-435 || obj1555-pl-456 || obj1564-pl-475 || obj1572-pl-493 || obj1593-pl-526 || obj1643-pl-593 || obj1651-pl-618 || obj1672-pl-670 || obj1681-pl-679 || obj1689-pl-691 || obj1723-pl-746 || obj1764-pl-814 || obj1826-pl-880 || obj1827-pl-881 || obj1829-pl-892 || obj1865-pl-942 || obj1867-pl-943
place_099,South of France,South of France,,,,,,France,,,obj759-pl-13
place_100,Frankfort,Frankfort,,,,Frankfurt,,Germany,,,obj1602-pl-546
place_101,Gard,Gard,,,,,Gard,France,,Occitanie,obj1827-pl-886
place_102,Geneva,Geneva,,,,Geneva,,Switzerland,,,obj755-pl-3 || obj755-pl-5 || obj895-pl-209 || obj897-pl-214 || obj899-pl-218 || obj1032-pl-412 || obj1041-pl-422 || obj1041-pl-424 || obj1102-pl-518 || obj1227-pl-714 || obj1770-pl-823
place_103,Geneve,Geneve,,,,Geneva,,Switzerland,,,obj1032-pl-409
place_104,George Town,George Town,,,,Georgetown,District of Columbia,United States of America,,,obj836-pl-120
place_105,Georgetown,Georgetown,,,,Georgetown,District of Columbia,United States of America,,,obj952-pl-295 || obj1065-pl-456 || obj1080-pl-473 || obj1081-pl-475 || obj1260-pl-770 || obj1891-pl-951
place_106,"Augusta, Georgia","Augusta, Georgia",,,,Augusta,Georgia,United States of America,,,obj1442-pl-212
place_107,Georgia,Georgia,,,,,Georgia,United States of America,,,obj958-pl-310 || obj1330-pl-40 || obj1405-pl-150 || obj1512-pl-349 || obj1530-pl-397 || obj1685-pl-685
place_108,Germany,Germany,,,,,,Germany,,,obj1422-pl-171 || obj1530-pl-400 || obj1530-pl-403 || obj1760-pl-810
place_109,Ghent,Ghent,,,,Ghent,,Belgium,,,obj792-pl-67
place_110,Gibraltar,Gibraltar,,,,,,Gibraltar,,,obj1151-pl-613
place_111,Glasgow,Glasgow,,,,Glasgow,Lanarkshire,Scotland,,,obj1564-pl-476 || obj1707-pl-717 || obj1708-pl-719 || obj1708-pl-720 || obj1723-pl-742
place_112,Gottingen,Gottingen,,,,Gottingen,,Germany,,,obj752-pl-1
place_113,Great Britain,Great Britain,,,,,,Britain,,,obj860-pl-166 || obj909-pl-243
place_114,Greece,Greece,,,,,,Greece,,,obj1185-pl-663
place_115,Greenville village,Greenville village,,,,Greenville,South Carolina,United States of America,,,obj1510-pl-345
place_116,Guatemala,Guatemala,,,,,,Guatemala,,,obj1093-pl-486 || obj1596-pl-527 || obj1841-pl-905 || obj1850-pl-931
place_117,Gulph of Florida,Gulph of Florida,,Gulph of Florida,,,,,,,obj1395-pl-132
place_118,Hamburg,Hamburg,,,,Hamburg,,Germany,,,obj1108-pl-529 || obj1673-pl-672
place_119,Harvard,Harvard,,,Harvard,Cambridge,Massachusetts,United States of America,,,obj1269-pl-999 || obj1284-pl-820 || obj1497-pl-999 || obj1618-pl-999 || obj1656-pl-627 || obj1682-pl-999 || obj1696-pl-704
place_120,Haut Rhin,Haut Rhin,,,,,Haut-Rhin,France,,Grand Est,obj1827-pl-882
place_121,Havana,Havana,,,,Havana,,Cuba,,,obj1269-pl-786
place_122,Havre,Havre,,,,Havre,Seine-Maritime,France,,Normandy,obj773-pl-34 || obj997-pl-365 || obj1009-pl-379 || obj1019-pl-392 || obj1041-pl-426 || obj1042-pl-428 || obj1063-pl-455 || obj1123-pl-548 || obj1137-pl-580 || obj1366-pl-97 || obj1424-pl-177 || obj1444-pl-220 || obj1651-pl-614
place_123,Holland,Holland,,,,,,Netherlands,,,obj1138-pl-591 || obj1253-pl-749 || obj1534-pl-417
place_124,Homestead,Homestead,,,Homestead,Greenville,South Carolina,United States of America,,,obj1693-pl-697
place_125,Hotel d’Hollande,Hotel d’Hollande,,,Hotel d’Hollande,Paris,Paris,France,,Ile-de-France,obj1599-pl-536
place_126,Hotel de France,Hotel de France,,,Hotel de France,Paris,Paris,France,,Ile-de-France,obj1770-pl-822
