name_d_id,short_name
ppl:iwjackson,iwjackson
ppl:jacham,jachambers
ppl:jadger,jadger
ppl:jadorr,jadorr
ppl:jamescmont,jcmontgomery
ppl:jamtorrey,jamtorrey
ppl:janemmacneven,janemmacneven
ppl:jarmstrong,jarmstrong
ppl:jasp,jsparks
ppl:jaswett,jaswett
ppl:jausten,jausten
ppl:jav,javentress
ppl:jawashington,jawashington
ppl:jbachman,jbachman
ppl:jbarlow,jbarlow
ppl:jbeb,jberegnault
ppl:jbeilie,jbeilie
ppl:jbgroux,jbgrouxrochelle
ppl:jbidd,jbiddle
ppl:jbjackson,jbjackson
ppl:jbjdelambre,jbjoseph
ppl:jbjohnston,jbjohnston
ppl:jbl,jblechevalier
ppl:jbmunoz,jbmunoz
ppl:jbolton,jbolton
ppl:jbri,jbristed
ppl:jbrisso,jbrissot
ppl:jbro,jbrown
ppl:jbsay,jbsay
ppl:jbstevenson,jbstevenson
ppl:jbu,jbuel
ppl:jbvshaick,jbvshaick
ppl:jbyerley,jbyerley
ppl:jcaldwell,jcaldwell
ppl:jcbrent,jcbrent
ppl:jccabell,jccabell
ppl:jccalhoun,jccalhoun
ppl:jcds,jcdserra
ppl:jcfladoucette,jcfdeladoucette
ppl:jchass,jchassel
ppl:jcloud,jcloud
ppl:jcmitchell,jcmitchell
ppl:jcmount,jcmountflorence
ppl:jcnelson,jcnelson
ppl:jcnott,jcnott
ppl:jcohen,jcohen
ppl:jconnell,jconnell
ppl:jcox,jcox
ppl:jcspencer,jcspencer
ppl:jcw,jcwhite
ppl:jcwarren,jcwarren
ppl:jdalrymp,jdalrymple
ppl:jdbloodgood,jdbloodgood
ppl:jdbry,jdebry
ppl:jdf,jdfisher
ppl:jdob,jdobson
ppl:jdp,jdepolignac
ppl:jeholbrook,jeholbrook
ppl:jernbonap,jnbonaparte
ppl:jeworcester,jeworcester
ppl:jfames,jfames
ppl:jfarmer,jfarmer
ppl:jfb,jfberger
ppl:jfcooper,jfcooper
ppl:jfesch,jfesch
ppl:jfeustis,jfeustis
ppl:jffish,jffisher
ppl:jfhulme,jfhulme
ppl:jfletcher,jfletcher
ppl:jfrandolph,jfrandolph
ppl:jgadams,jgadams
ppl:jgalindo,jgalindo
ppl:jgappleton,jgappleton
ppl:jgaylussac,jgaylussac
ppl:jgclark,jgclark
ppl:jgeh,jgeheckwelder
ppl:jgfwurdemann,jgfwurdemann
ppl:jgmorris,jgmorris
